País;Monstruo1;Monstruo2;Monstruo3;Monstuo4;Monstuo5;Tesoro1;Tesoro2;Tesoro3;Tesoro4;Tesoro5;Pregunta1;Pregunta2;Pregunta3;Pregunta4;Pregunta5;Respuesta1A;Respuesta2A;Respuesta3A;Respuesta4A;Respuesta5A;Respuesta1B;Respuesta2B;Respuesta3B;Respuesta4B;Respuesta5B;Respuesta1C;Respuesta2C;Respuesta3C;Respuesta4C;Respuesta5C;Pista1;Pista2;Pista3;Pista4;Pista5;Excusa1;Excusa2;Excusa3;Excusa4;Excusa5
"Trinidad y Tobago	";El niño sin pies Douen;La bruja de fuego Soucouyant;La diablesa de pies de becerro;El protector del bosque Papa Bois;El espíritu guardián Moko Jumbie;El lago de asfalto de Pitch Lake;El tesoro del pirata Henry Morgan;El Carnaval de Trinidad;El colibrí de Trinidad;Los arrecifes de Buccoo;¿Qué animal vive en sus selvas?; ¿Qué río cruza la isla?; ¿Qué árbol crece en la costa?; ¿Qué fruta tropical se cultiva?; ¿Qué ave se ve?;Jaguar; Caroni; Palmera; Mango; Tucán;León; Amazonas; Roble; Plátano; Loro;Tigre; Nilo; Pino; Piña; Águila;Su capital es Puerto España; Se celebra un carnaval con disfraces enormes; Sus playas tienen palmeras; Se inventó el steelpan (tambor metálico); Allí hay colibríes;No has podido salir del país porque el Carnaval ha comenzado y te han cubierto de barro; aceite y pintura.; No has podido salir del país porque te has unido a una banda de steelpan y estáis ensayando para el Panorama.;" No has podido salir del país porque te has quedado atrapado en una fiesta ""lime"" en la playa que nunca termina."; No has podido salir del país porque el colibrí
"Túnez	";El genio del desierto Jinn;El necrófago Ghul;El genio de fuego Ifrit;El ogro Houch el-ghoul;La demonia Sa'lawah;El tesoro de la antigua Cartago;El anfiteatro de El Djem;Los mosaicos del Museo del Bardo;La Gran Mezquita de Kairuán;Las ruinas de Dougga;¿Qué desierto cubre Túnez?; ¿Qué animal vive allí?; ¿Qué mar baña el país?; ¿Qué árbol crece en el desierto?; ¿Qué fruta se cultiva?;Sahara; Camello; Mediterráneo; Acacia; Dátiles;Gobi; León; Rojo; Pino; Mango;Kalahari; Tigre; Negro; Roble; Piña;Su capital es Túnez; Allí están las ruinas de Cartago; Tiene un desierto con oasis; Sus casas son blancas y azules; Allí se rodaron escenas de “Star Wars”;No has podido salir del país porque te has perdido en el laberinto de la medina de Túnez.; No has podido salir del país porque estás buscando el planeta Tatooine y crees que está cerca de Tataouine.; No has podido salir del país porque un dromedario se ha comido las llaves de tu coche de alquiler.; No has podido salir del país porque te has quedado atrapado en las ruinas de Cartago discutiendo con el fantasma de Aníbal.; No has podido salir del país porque estás esperando a que se enfríe tu té a la menta con piñones.
"Turkmenistán	";El demonio gigante Div;El hada Peri;La demonia del parto Al-Basty;La reina serpiente Yuvha;El dragón Ajdarha;La Puerta al Infierno (cráter de gas de Darvaza);Las ruinas de Merv;Los caballos de Akhal-Teke;Las alfombras turcomanas;El tesoro del Imperio Parto;¿Qué desierto cubre el país?; ¿Qué animal vive allí?; ¿Qué río cruza Turkmenistán?; ¿Qué árbol crece en oasis?; ¿Qué fruto se cultiva?;Karakum; Camello; Amu Daria; Acacia; Melón;Gobi; León; Nilo; Roble; Mango;Sahara; Tigre; Amazonas; Pino; Plátano;Su capital es Asjabad; Allí hay una puerta en el suelo que siempre tiene fuego (Puerta del Infierno); Sus alfombras tienen dibujos rojos muy bonitos; En el desierto viven caballos akhal-teke muy rápidos; Sus casas tradicionales se llaman yurts;No has podido salir del país porque la Puerta del Infierno (cráter de gas de Darvaza) ha decidido que eres el nuevo guardián.; No has podido salir del país porque te han encargado una estatua de oro del presidente y aún no la has terminado.; No has podido salir del país porque tu caballo Akhal-Teke; de pelaje dorado; ha ganado un concurso de belleza y ahora es una celebridad.
"Turquía	";El ogro del desierto Gulyabani;El íncubo nocturno Karabasan;El cíclope Tepegöz;El dios de la muerte Erlik;El caballo alado Tulpar;El tesoro de Troya;El tesoro del palacio de Topkapi;La ciudad de Göbekli Tepe;Santa Sofía;Las ruinas de Éfeso;¿Qué montaña es famosa?; ¿Qué animal vive en sus bosques?; ¿Qué río cruza el país?; ¿Qué árbol crece allí?; ¿Qué ave se ve?;Ararat; Oso pardo; Éufrates; Roble; Águila;Everest; León; Amazonas; Pino; Loro;Mont Blanc; Tigre; Nilo; Olivo; Paloma;Su capital es Ankara; En Estambul hay una gran iglesia llamada Santa Sofía; Allí está el bazar más grande lleno de colores; Los globos vuelan sobre la Capadocia; Tiene la famosa ciudad antigua de Troya;No has podido salir del país porque te has quedado atrapado en el Gran Bazar y ahora eres un vendedor de alfombras mágicas.; No has podido salir del país porque un derviche giratorio te ha hipnotizado y ahora das vueltas sin parar.; No has podido salir del país porque te has comido tantos dulces turcos que ahora sudas almíbar.; No has podido salir del país porque te han invitado a un baño turco y has perdido la noción del tiempo (y la piel).; No has podido salir del país porque tu globo aerostático en Capadocia se ha negado a bajar.
"Tuvalu	";El dios o espíritu Atua;El antepasado deificado Tupua;El espíritu Aitu;La doncella celestial Nei Tituaabine;El guardián del inframundo Nakaa;El dominio de internet .tv;Los atolones de coral;El Área de Conservación de Funafuti;El legado de la cultura polinesia;La habilidad de navegación tradicional;¿Qué océano rodea Tuvalu?; ¿Qué animal marino se ve allí?; ¿Qué árbol crece en las islas?; ¿Qué fruta tropical se cultiva?; ¿Qué ave se ve?;Pacífico; Tiburón; Palmera; Coco; Cotorra;Atlántico; Delfín; Roble; Mango; Loro;Índico; León; Pino; Piña; Águila;Su capital es Funafuti; Es uno de los países más pequeños del mundo; Son islas en medio del océano; La gente viaja en barcas; Sus casas están cerca del mar;No has podido salir del país porque la pista de aterrizaje se está usando como campo de fútbol y el partido está en la prórroga.; No has podido salir del país porque la marea alta ha hecho que la isla sea un poco más pequeña y el aeropuerto está bajo el agua.; No has podido salir del país porque te han pedido que ayudes a mover una palmera que bloquea la carretera.; No has podido salir del país porque el dominio de internet .tv ha expirado y con él; toda la comunicación.
"Ucrania	";El demonio con párpados de tierra Viy;El espíritu acuático Rusalka;El demonio seductor Perelesnyk;La bestia legendaria Chupacabra;El espíritu del bosque Lisovyk;El oro de los escitas;El tesoro del hetman Mazepa;El Monasterio de las Cuevas de Kiev;Los huevos de Fabergé (algunos);La ciudad de Chersonesus en Crimea;¿Qué río cruza Kiev?; ¿Qué animal vive en sus bosques?; ¿Qué árbol crece en los parques?; ¿Qué fruta se cultiva?; ¿Qué ave se ve?;Dniéper; Ciervo; Roble; Manzana; Golondrina;Danubio; León; Pino; Mango; Loro;Rin; Tigre; Olivo; Uva; Águila;Su capital es Kiev; Allí hay campos amarillos de girasoles; Tienen una sopa roja llamada borsch; Sus iglesias tienen cúpulas doradas; Sus bailes son muy saltarines;"No has podido salir del país porque una ""babushka"" te ha obligado a comerte tres platos de borscht y ahora no puedes moverte."; No has podido salir del país porque te has unido a un coro de cosacos y tu voz es fundamental.; No has podido salir del país porque estás ayudando a decorar huevos de Pascua (pysanka) y es un trabajo muy delicado.; No has podido salir del país porque te has perdido en el Túnel del Amor y es demasiado romántico para irse.; No has podido salir del país porque el fantasma de Chernóbil ha escondido tu pasaporte.
"Uganda	";El primer hombre Kintu;El dios de la muerte Walumbe;El dios de la guerra Muwanga;El espíritu del terremoto Musisi;La primera mujer Nambi;Los gorilas de montaña del Parque Nacional de Bwindi;Las Fuentes del Nilo Blanco;Las tumbas de los reyes de Buganda en Kasubi;El tesoro del rey Mutesa I;El Parque Nacional Queen Elizabeth;¿Qué lago grande está en Uganda?; ¿Qué animal vive allí?; ¿Qué río cruza el país?; ¿Qué árbol crece en la selva?; ¿Qué ave se ve?;Victoria; Gorila; Nilo; Baobab; Tucán;Tanganica; León; Amazonas; Pino; Loro;Malawi; Tigre; Roble; Mango; Águila;Su capital es Kampala; Allí viven gorilas de montaña; Tiene un lago enorme llamado Victoria; El río Nilo empieza allí; Sus tambores suenan fuerte en las fiestas;No has podido salir del país porque un gorila de montaña te ha nombrado su masajista personal.; No has podido salir del país porque estás cruzando el ecuador y no te decides en qué hemisferio quedarte.; No has podido salir del país porque estás buscando la fuente del Nilo y te has entretenido en los rápidos.; No has podido salir del país porque los leones trepadores de árboles de Ishasha han decidido que tu avión es un buen lugar para una siesta.;" No has podido salir del país porque te han retado a un concurso de comer ""matoke"" (plátano verde)."
"Uruguay	";El ánima en pena Luz Mala;El perro del diablo El Perro Familiar;El espectro de La Llorona;El hombre lobo El Lobisón;El duende guaraní El Pombero;El tesoro del Conde de Stromboli (leyenda);El oro del naufragio del 'Agamemnon';La ciudad de Colonia del Sacramento;El legado cultural del candombe;La amatista de Artigas;¿Qué río cruza el país?; ¿Qué animal vive en la llanura?; ¿Qué árbol crece en los campos?; ¿Qué fruta se cultiva?; ¿Qué ave se ve?;Uruguay; Vaca; Ombú; Manzana; Flamenco;Paraná; León; Pino; Mango; Loro;Amazonas; Tigre; Roble; Uva; Águila;Su capital es Montevideo; Se come carne asada en parrillas; Sus playas miran al océano Atlántico; Les gusta el mate como en Argentina; Su fútbol es muy famoso;No has podido salir del país porque estás compartiendo un mate con un grupo de amigos y el círculo nunca termina.; No has podido salir del país porque un asado de 8 horas ha entrado en su décima hora.; No has podido salir del país porque te has quedado atrapado en un partido de fútbol que dura 3 días.; No has podido salir del país porque un gaucho te ha retado a un duelo de payadas (canciones improvisadas).; No has podido salir del país porque te has relajado tanto en Cabo Polonio que has olvidado que existe el resto del mundo.
"Uzbekistán	";El demonio gigante Dev;El dragón Ajdar;La demonia del parto Alvasti;El ogro Gulyabani;El hada Peri;El mapa de la Ruta de la Seda;El tesoro de Tamerlán;El oro de las minas de Muruntau;El tesoro perdido del mar de Aral;El legado de Avicena;¿Qué desierto cubre el país?; ¿Qué animal vive allí?; ¿Qué río cruza Uzbekistán?; ¿Qué árbol crece en los oasis?; ¿Qué fruto se cultiva?;Kyzylkum; Camello; Amu Daria; Acacia; Melón;Gobi; León; Nilo; Roble; Mango;Sahara; Tigre; Amazonas; Pino; Plátano;Su capital es Taskent; Sus ciudades tienen mosaicos azules (Samarcanda); Era parte de la Ruta de la Seda; Sus mercados venden especias de colores; Allí hay desiertos y montañas;"No has podido salir del país porque te has quedado maravillado con las madrasas de Samarcanda y ahora crees que estás en ""Las mil y una noches""."; No has podido salir del país porque estás atrapado en un tren que viaja por la Ruta de la Seda y no quieres bajarte.; No has podido salir del país porque estás en un mercado de especias y sigues negociando el precio del azafrán.;" No has podido salir del país porque te han invitado a una boda y el ""plov"" (arroz pilaf) es para 500 personas."; No has podido salir del país porque tu sombrero tradicional es demasiado grande para el escáner del aeropuerto.
"Vanuatu	";El dios creador Tagaro;El héroe cultural Qat;El espíritu caníbal Le-hev-hev;El espíritu de los muertos Temes;El espíritu del mar Nataro;El volcán activo del Monte Yasur;Los buceadores de tierra de la isla de Pentecostés;El naufragio del SS President Coolidge;El legado del jefe Roy Mata;Los arrecifes de coral;¿Qué volcán es famoso?; ¿Qué animal vive en la selva?; ¿Qué árbol crece en la playa?; ¿Qué fruta tropical se cultiva?; ¿Qué ave se ve?;Yasur; Iguana; Palmera; Coco; Cotorra;Etna; León; Pino; Mango; Loro;Popocatépetl; Tigre; Roble; Piña; Águila;Su capital es Port Vila; Son islas con volcanes que echan fuego; La gente baila con máscaras; Sus aldeas tienen chozas de palma; Sus mares tienen peces tropicales;"No has podido salir del país porque te has unido al ""salto de tierra"" (el origen del puenting) y aún no te atreves a saltar."; No has podido salir del país porque estás esperando a que el volcán Yasur te dé una señal.; No has podido salir del país porque has enviado una carta desde la oficina de correos submarina y estás esperando la respuesta.; No has podido salir del país porque una tribu local te ha nombrado jefe por tu habilidad para abrir cocos.; No has podido salir del país porque el kava te ha dejado en un estado de felicidad inmóvil.
"Venezuela	";El espectro de la mujer que llora La Llorona;El silbador de la sabana El Silbón;La mujer vengadora La Sayona;La bestia chupasangre El Chupacabras;La mujer monstruosa La Tunda;El tesoro de El Dorado en el lago Guatavita (leyenda asociada a la región);Las perlas de la isla de Margarita;El Salto Ángel;Los tepuyes del Parque Nacional Canaima;Las reservas de petróleo;¿Qué montaña es famosa?; ¿Qué animal vive en la selva?; ¿Qué río cruza el país?; ¿Qué árbol crece en la selva?; ¿Qué ave se ve?;Auyán-Tepui; Jaguar; Orinoco; Ceiba; Tucán;Everest; León; Amazonas; Pino; Loro;Mont Blanc; Tigre; Nilo; Roble; Águila;Su capital es Caracas; Allí están las cataratas más altas del mundo (Salto Ángel); En el Orinoco viven delfines rosados; Se come arepa con muchos rellenos; Tiene una montaña plana llamada tepuy;No has podido salir del país porque el Salto Ángel ha decidido fluir hacia arriba y es un fenómeno que hay que estudiar.;" No has podido salir del país porque te has unido a una orquesta del ""Sistema"" y tenéis un concierto en el Tepuy Roraima."; No has podido salir del país porque un capibara ha decidido que tu maleta es el lugar perfecto para su siesta.; No has podido salir del país porque te has quedado sin gasolina en medio de un atasco.; No has podido salir del país porque estás esperando a que tu arepa se enfríe lo suficiente para comerla.
"Vietnam	";El dragón asiático R?ng;La tortuga sagrada Quy;El unicornio Lân;El fénix Ph??ng;El espíritu de la montaña S?n Tinh;La Ciudad Imperial de Hue;La Bahía de Ha-Long;El tesoro de la dinastía Nguyen;Los túneles de Cu Chi;La tumba del emperador Tu Duc;¿Qué río cruza el país?; ¿Qué animal vive en la selva?; ¿Qué montaña es famosa?; ¿Qué árbol crece allí?; ¿Qué ave se ve?;Mekong; Elefante; Fansipan; Bambú; Cotorra;Rojo; León; Everest; Roble; Loro;Negro; Tigre; Mont Blanc; Pino; Águila;Su capital es Hanói; Sus campos tienen terrazas de arroz; Sus barcos tradicionales son rojos y marrones; En la bahía de Ha Long hay montañas en el agua; Sus farolillos iluminan las noches;No has podido salir del país porque estás atrapado en un cruce de motos en Hanoi y ahora eres parte del enjambre.; No has podido salir del país porque te has perdido en los túneles de Cu Chi y has aparecido en la cocina de un restaurante.; No has podido salir del país porque un búfalo de agua se ha enamorado de tu sombrero cónico.; No has podido salir del país porque estás esperando en un barco en la bahía de Halong a que un dragón te dé paso.; No has podido salir del país porque has bebido café con huevo y ha cambiado tu percepción de la realidad.
